"vehicle_id","reservation_id","reservation_type"
237801,3162983,1
386373,3165171,1
416092,3165365,2
189765,3165487,2
382095,3167278,2
419344,3167913,1
278703,3170235,2
110957,3170398,1
413904,3170929,2
353253,3171156,2
433224,3171258,1
389180,3172298,1
418590,3172392,1
337064,3173679,2
342026,3176342,2
398592,3177822,2
340270,3177842,1
429130,3178321,2
403901,3180614,1
422531,3180955,1
272043,3181336,2
387793,3181845,1
425614,3181935,2
341313,3182711,1
397349,3183141,2
244140,3183215,1
433224,3185694,1
366143,3186126,2
421203,3186324,2
219798,3187324,1
385542,3188689,1
423081,3190024,2
399966,3190488,2
395864,3190534,1
250417,3192021,1
262292,3192993,2
182419,3193299,1
383114,3193802,2
408298,3195329,2
383310,3195473,1
183663,3195538,2
361309,3198804,1
203090,3199020,2
212534,3199209,2
348859,3199583,2
421958,3199727,2
359435,3200083,1
253866,3200276,1
385542,3204143,1
433224,3204600,1
153333,3204633,1
395284,3206351,1
351125,3207663,2
344766,3208128,2
272169,3209242,1
409456,3209779,1
395750,3210839,2
331999,3211657,1
331999,3211813,2
307643,3212247,2
382909,3213367,2
340060,3213454,1
376934,3215340,1
386892,3215555,1
349338,3216172,1
319968,3216814,1
429933,3219572,2
270502,3219592,1
370966,3219939,1
378992,3220725,2
281245,3221698,1
235789,3222017,2
255812,3222050,1
252326,3222213,2
331186,3223008,2
292844,3224500,2
37782,3224669,1
182419,3226111,2
319968,3226177,2
272169,3226954,1
246101,3227301,2
401744,3227433,1
253952,3228352,1
292781,3231963,2
156998,3234296,2
355152,3234864,1
37782,3235277,1
255906,3235824,2
355909,3235934,2
383310,3237081,2
391476,3237949,2
328280,3240482,2
351211,3240699,2
190639,3242278,1
242819,3243541,1
418590,3244074,1
345422,3245758,1
348089,3247907,1
283278,3249741,1
252211,3249794,1
262185,3250591,2
413231,3251180,1
219798,3251460,1
422531,3251898,1
320673,3252899,1
189765,3253554,1
413231,3253923,2
266862,3254581,2
214921,3254638,1
206154,3254884,1
251629,3256518,2
324401,3257087,1
354999,3257975,2
217576,3258361,2
171379,3258533,1
331999,3259379,2
186811,3259704,1
175751,3261476,2
425956,3262276,1
340523,3263072,2
337064,3263879,1
175751,3264732,1
352925,3266066,1
407569,3266936,2
297470,3267004,2
398941,3267618,2
343832,3268214,2
402780,3271131,1
398592,3271428,2
276983,3272247,2
380407,3276020,1
342457,3276986,2
320673,3277276,1
159475,3279904,2
419091,3280769,1
186622,3281487,1
294008,3281867,2
429130,3282150,1
369827,3283585,1
53257,3285426,2
332673,3285760,2
124954,3285912,1
238134,3286610,1
348859,3287034,2
149689,3287961,1
418590,3288848,1
120800,3289861,1
228107,3290010,1
236857,3292417,2
262185,3293419,2
287668,3293753,2
308226,3294446,1
409974,3295287,2
283278,3296598,1
352925,3298108,1
372575,3298641,2
292781,3298855,1
414741,3298995,2
337064,3299493,1
399922,3300822,2
376864,3301009,1
151875,3303242,2
165746,3303642,2
394165,3304150,1
388184,3304339,1
388184,3305193,1
395516,3306117,2
326003,3307081,1
378071,3307096,1
429516,3308240,1
153333,3308346,1
420561,3310213,1
380210,3310424,1
245085,3311902,2
234663,3311913,1
266862,3312747,2
384552,3314576,1
400363,3314740,2
396195,3315285,2
388184,3315976,1
303331,3316109,1
411198,3319036,1
417263,3320073,1
423914,3321120,2
348859,3323427,2
343832,3323970,1
289401,3325794,2
319968,3326735,1
251088,3329357,1
405386,3329672,1
240909,3330914,2
317691,3331368,1
383425,3331551,1
254910,3333555,1
335257,3334745,2
133445,3335745,1
382941,3337571,2
331837,3339630,2
273646,3339685,2
395377,3339957,1
151875,3342078,1
164346,3343469,1
292857,3347720,2
350035,3349430,2
313084,3351132,2
355024,3353784,1
328280,3354538,2
385542,3356564,1
246093,3357335,1
232188,3358270,1
401312,3359057,1
352584,3362211,1
397281,3363410,2
266314,3367090,2
120800,3367800,2
396195,3368128,2
264825,3371837,1
251088,3374385,1
353253,3377556,1
132845,3378097,2
343350,3378219,2
326921,3378242,1
318028,3379241,1
276983,3379458,1
331186,3381370,2
386454,3386330,2
317230,3386462,2
398592,3387336,1
345928,3389242,2
383310,3391770,1
419056,3393291,2
311660,3394517,1
308226,3394929,2
198376,3396180,1
340874,3396817,1
376226,3398740,2
352007,3400403,2
347371,3400432,2
295533,3401314,1
382785,3401891,1
346890,3405230,2
355909,3406029,2
331217,3406212,1
408956,3407265,1
330339,3410078,1
313902,3411578,1
408092,3413373,1
184571,3416191,1
430354,3416192,2
377977,3416644,1
124954,3416780,2
151380,3417119,1
420561,3418762,1
380873,3419329,2
292781,3421114,1
311252,3421758,2
418590,3422142,2
344128,3422251,2
413876,3422307,2
120800,3422902,1
389180,3423271,1
427861,3423985,1
387669,3425295,2
419056,3425658,1
336070,3426336,1
402069,3428700,1
336163,3429176,1
376001,3429788,1
402069,3430201,1
348820,3430868,1
382424,3432329,2
237801,3433918,1
415783,3434300,1
388184,3435056,1
407979,3435246,1
331999,3439070,2
298736,3439441,1
320673,3441428,1
391877,3442056,1
386629,3443407,1
273646,3444107,2
189842,3444580,1
421783,3444665,1
120800,3446807,1
337064,3446852,2
378992,3447011,1
421958,3447985,2
112597,3448164,1
124954,3448835,2
320673,3450272,1
423081,3450634,1
420652,3452178,1
345422,3452866,1
248188,3453699,2
185593,3455493,1
376758,3455558,2
286592,3456135,1
292844,3456192,2
417585,3456735,2
190639,3458566,2
145395,3459467,1
222362,3460506,2
419916,3460995,1
190639,3461238,1
185593,3463681,1
391476,3466559,1
278703,3466845,1
338657,3467525,1
395484,3471303,1
349338,3472477,2
419056,3474341,1
386373,3475090,1
250417,3479430,2
250417,3479848,2
112597,3481324,1
262292,3482207,1
424521,3483615,2
326003,3483797,2
319968,3485780,1
298736,3486745,1
284183,3486806,1
394165,3487356,1
330079,3487511,1
366073,3487677,1
352925,3488661,1
387669,3489602,1
124737,3489687,1
331999,3490383,1
185593,3491466,1
248188,3491630,2
272484,3491657,1
331217,3493177,2
400843,3496363,1
415751,3497274,1
331999,3500389,2
393436,3506020,1
317945,3507057,1
109656,3508307,1
385192,3509332,1
332783,3512591,1
254910,3513599,1
389580,3516208,1
382424,3516595,1
320673,3517087,1
219860,3519929,2
315124,3524591,1
337605,2612383,2
364195,2657123,2
335521,2721035,1
246101,2769387,2
376001,2785948,2
219798,2786635,2
311252,2794712,2
222126,2815057,1
389979,2825001,2
311252,2825932,2
292844,2839937,2
395511,2841329,1
237801,2862665,2
298416,2876677,2
376870,2890496,2
376870,2904428,2
306358,2909901,1
348820,2915752,2
352925,2928339,1
252211,2947687,1
369827,2952450,1
380873,2968524,2
298416,2975132,2
337011,2986116,2
246093,2986603,1
403163,2995407,2
387756,2997396,2
308323,2998344,2
355024,3024748,1
200360,3030451,2
319968,3030546,2
424323,3039187,2
222126,3042441,2
414647,3044662,2
284515,3045093,1
369827,3047643,2
254910,3057726,1
394022,3064264,2
336163,3065125,1
382909,3068023,2
388155,3068896,2
289401,3071916,2
298416,3075750,2
388155,3076652,1
269667,3078854,2
407356,3082161,1
426526,3082905,2
165614,3087298,1
332673,3088633,2
375880,3089152,2
385192,3091413,2
255906,3092184,2
383310,3095951,2
296767,3098088,1
389580,3098336,2
402069,3100388,1
406541,3101479,1
417263,3102158,1
327804,3102225,2
386347,3103382,1
308323,3104410,2
399966,3105214,2
217576,3105524,1
307979,3106388,1
408956,3106985,2
407979,3108089,1
386347,3108552,1
324401,3109549,1
377652,3109607,1
418831,3110257,2
405386,3111929,1
416092,3111967,1
112597,3114148,1
214691,3115609,2
394022,3116965,1
426513,3118507,2
417585,3118632,1
281245,3119552,1
387756,3120702,2
391616,3121094,2
379514,3121299,1
391476,3121388,1
425614,3121513,2
414741,3122927,2
214921,3123056,1
320673,3123212,1
417244,3125484,2
383649,3126376,2
400693,3126431,1
255402,3126673,2
416092,3126830,1
432092,3127224,2
356457,3129033,1
409456,3131210,1
429881,3132022,2
285364,3132393,2
318028,3132834,1
290523,3135570,1
333353,3136461,1
396994,3137722,2
233740,3138454,2
412211,3139601,1
219860,3141050,1
126086,3141716,2
325311,3143908,2
371321,3144011,1
407979,3144490,1
287144,3145243,1
258195,3145633,2
391616,3146291,2
265409,3146297,1
376864,3146457,1
279978,3147047,2
394165,3147939,1
165426,3147995,1
338657,3148909,1
426592,3150070,1
348663,3150272,2
419677,3150563,2
367454,3151050,1
365957,3151571,1
355909,3151753,2
330092,3156218,1
214921,3156614,2
318028,3159395,1
391814,3159639,2
386022,3159900,2
124737,3160881,2
418831,3161251,2
303840,3161915,1
365958,3162251,2
427938,3162357,2
328280,3162810,1
29205,3163136,1
369827,3165497,2
429130,3166893,1
164346,3166979,1
391476,3167500,1
372575,3167609,1
417244,3169951,1
403402,3170577,1
425614,3173884,2
190639,3173969,1
189765,3174117,1
386923,3174209,2
382095,3175038,1
373106,3175573,1
217576,3175749,1
380873,3177413,2
365911,3177552,1
426526,3177797,1
279978,3178351,1
285364,3179388,2
407793,3180400,1
425106,3180744,1
386373,3180848,1
284183,3181713,1
423478,3183148,1
396195,3183739,1
232654,3184762,1
258909,3185743,1
344128,3186090,2
304406,3188248,2
257950,3189065,2
433566,3191123,1
420507,3191583,1
391824,3193352,1
347371,3195298,1
413904,3196325,1
214921,3196418,1
236306,3199310,2
298416,3199784,1
358410,3200448,1
175751,3200692,2
234663,3202273,1
395516,3202934,2
37782,3203326,1
377585,3203499,1
413876,3204180,2
370072,3204773,1
250417,3206200,2
344512,3206291,2
292781,3206312,1
391304,3208148,2
245085,3208287,2
382424,3208623,1
223609,3208809,1
433566,3209399,1
349769,3209493,1
420507,3212022,1
406409,3212503,2
309692,3214310,2
214921,3214660,1
425001,3215829,1
393436,3216909,2
328280,3218297,1
284183,3221248,1
369827,3223692,1
183663,3224538,2
244140,3224766,1
247684,3224997,2
372575,3228645,2
395415,3228934,2
362774,3229951,1
178349,3231134,1
151527,3232190,2
186811,3234068,1
407979,3237434,1
416092,3241669,2
423151,3242141,1
254334,3242397,1
222551,3245393,1
222551,3247881,1
415228,3248347,1
329044,3248500,1
252326,3249248,2
382424,3249821,1
393436,3250068,1
388184,3251843,1
375778,3252290,1
238134,3254110,1
309046,3255451,1
350112,3256914,1
369410,3258523,1
383425,3258684,1
403402,3259095,1
285364,3259440,2
387756,3259477,1
317230,3260698,1
397433,3261313,2
283486,3262738,1
421958,3264873,2
283486,3266136,1
378992,3266900,2
376870,3267194,1
238134,3267333,1
281245,3270300,1
422531,3272182,1
205913,3272216,1
320673,3272397,1
37782,3272893,1
346210,3273225,1
207925,3273459,1
388155,3275859,2
418204,3275983,2
290552,3276743,1
153308,3276770,2
204014,3277578,1
352584,3278019,1
416247,3281736,2
401458,3284060,2
242819,3284721,1
253037,3284747,2
329358,3285217,1
422370,3285372,1
407569,3286791,1
243917,3288220,1
395284,3289226,1
314910,3289448,1
270502,3289727,2
330079,3290568,2
290552,3291308,1
394968,3291495,1
418590,3291621,1
401744,3292216,1
364195,3292418,2
375778,3293249,2
330092,3294286,1
232654,3294884,2
300776,3295020,1
383649,3295615,2
424521,3298178,2
153290,3298438,2
258195,3299790,2
398558,3300238,1
285364,3301172,1
408956,3302939,2
332783,3304033,1
330079,3305666,2
350112,3305909,2
403756,3305967,2
376226,3306130,1
397433,3307557,1
124737,3308843,1
301602,3309315,1
281245,3313243,1
349338,3316587,1
355152,3317069,2
295757,3318773,1
35202,3318971,1
349338,3319104,1
223609,3319839,1
392930,3319965,1
340523,3321007,2
159427,3322645,2
311660,3322938,2
253348,3324213,1
340060,3325390,1
251088,3328126,1
347811,3328154,1
270502,3329578,2
235789,3332268,2
394022,3332588,1
189842,3332826,1
286448,3332844,2
37782,3333058,1
249780,3333841,2
287668,3335677,2
340060,3336538,1
340060,3336918,1
376870,3337323,2
380625,3338273,1
351125,3338336,2
145395,3339271,1
419347,3339495,2
348089,3340188,1
258595,3342359,1
418204,3343589,1
364302,3344291,1
120800,3344758,1
376226,3344983,1
416092,3346102,1
285364,3347602,1
344128,3349560,1
182787,3349616,2
418204,3350146,2
396994,3350248,2
294289,3351268,2
149689,3351714,2
399359,3351927,2
285674,3354357,1
344512,3355335,1
409200,3356830,1
344186,3356839,2
297470,3357159,2
356457,3358467,2
409520,3359764,2
308226,3359974,1
418590,3361243,1
172628,3361255,2
421783,3361909,2
234663,3363122,1
185593,3363324,1
136742,3364262,1
376758,3366657,2
149689,3368144,2
417913,3371418,2
258509,3372482,1
382424,3373174,1
387669,3373318,1
385648,3373411,2
376864,3373813,1
164346,3374796,2
223908,3376363,1
198376,3376398,1
124737,3376926,1
236857,3378303,1
160433,3379557,1
273646,3380333,2
403402,3380349,2
344128,3383810,1
401744,3384605,2
337064,3384831,1
270502,3390111,1
185593,3390318,1
35202,3390838,2
136991,3390892,1
308226,3391388,1
320673,3391661,1
394165,3393925,2
311660,3394601,1
179009,3395897,2
427861,3396498,2
229615,3396825,1
376458,3398588,2
420737,3399287,1
214691,3399528,2
290736,3399703,2
365911,3401180,1
251088,3402231,1
315124,3402358,1
408092,3403997,1
37782,3404782,1
424323,3405621,1
416025,3406034,1
337064,3408017,2
136991,3408707,1
375880,3410952,1
399415,3413328,1
326921,3413621,2
295533,3413942,2
295533,3414845,2
182419,3415858,1
169699,3415874,1
335732,3416049,1
311252,3417606,1
252211,3417611,1
401312,3417957,1
395377,3420304,2
253037,3421599,1
301602,3424171,1
251088,3426044,1
175751,3427343,1
422235,3428129,1
409200,3428417,2
414786,3429538,1
361020,3430297,1
240909,3432618,1
415751,3432856,1
392930,3435539,1
282500,3437403,1
321136,3437418,1
410633,3439134,1
326921,3441569,1
307979,3443008,1
391824,3444003,1
171379,3445477,1
417263,3448138,1
394022,3451576,1
153308,3452686,2
403850,3454929,1
171379,3455827,1
303840,3456023,1
399415,3459546,2
252326,3460483,1
337600,3461053,1
384190,3466452,1
433224,3468198,1
332673,3470012,1
345422,3472416,1
376758,3472583,2
414786,3473015,1
3132,3476306,1
419056,3476869,1
416247,3476888,1
350230,3478191,2
415228,3478212,2
386347,3478476,1
372880,3478600,2
351200,3480649,2
419056,3481129,2
190639,3481333,1
413231,3485384,2
427088,3486127,1
417263,3486309,1
284183,3488928,1
382424,3489022,2
414786,3490636,1
402780,3493542,1
308226,3494239,1
403402,3494584,1
301904,3498820,1
251088,3499162,2
301904,3501985,1
222551,3502526,1
319968,3508634,1
398689,3510640,1
318028,3512231,1
319968,3513526,1
342820,3514198,1
284183,3514841,1
284183,3515734,1
348820,3516221,2
327804,3516487,1
217576,3517079,1
278703,3523988,1
398689,3524781,1
253037,3529594,1
282500,2330448,2
344766,2685770,2
196299,2707577,2
243917,2756667,2
353831,2852683,2
333353,2852862,2
389979,2877430,2
186622,2884506,1
236857,2888357,2
391304,2894163,2
311776,2895568,2
395511,2909031,2
403163,2913957,1
407047,2924307,2
311776,2924988,2
367999,2933240,1
364195,2944578,2
335730,2946487,2
253348,2947748,2
235789,2948985,2
396878,2957949,1
189765,2960054,2
378908,2964034,2
409200,2971191,2
412533,2992076,2
330092,2996217,2
301602,3008389,1
342026,3008535,2
228107,3010712,1
217576,3015994,2
411720,3025760,2
263556,3026206,1
419916,3028966,1
417585,3033447,2
420507,3036218,1
391476,3042871,2
292857,3044121,1
182787,3048781,1
258966,3048985,1
345928,3054340,2
394022,3054693,2
391814,3058825,2
389180,3061196,2
419091,3061530,2
155682,3062146,1
382785,3072243,1
391824,3074702,1
337605,3076159,1
270502,3077114,2
395750,3081843,2
420507,3082781,2
207362,3083918,2
406753,3084638,1
365841,3096179,1
189842,3096715,2
419677,3096717,2
335730,3097457,2
290523,3100189,1
417263,3100401,2
401019,3101468,2
331186,3102357,1
254910,3102382,1
399359,3103048,2
242819,3106351,1
303331,3108330,1
151875,3109130,1
415382,3109541,1
395415,3109677,2
273646,3110256,2
96280,3111227,1
286592,3111897,2
317271,3112778,2
425956,3113335,1
429381,3114635,1
355024,3114833,1
391616,3116177,2
251088,3116616,2
395425,3116686,1
400693,3116731,1
394165,3117579,2
249541,3118524,1
252326,3118976,2
387793,3119269,1
398779,3119605,1
283278,3120652,1
397761,3121338,2
331186,3123766,1
311660,3124823,2
364195,3125814,2
379514,3126747,1
292781,3128261,2
215800,3131940,2
300776,3132048,1
108287,3132490,2
380210,3133032,1
251088,3133720,1
313902,3135448,1
330079,3136143,1
238134,3136561,2
429435,3137072,2
327875,3137327,1
110957,3138067,1
315170,3139321,2
343240,3140018,2
431105,3140359,2
340874,3142606,1
229615,3143227,1
358410,3144169,2
319968,3145028,1
300776,3145464,1
384190,3148180,1
387793,3149193,1
222126,3149345,2
404757,3149828,1
376934,3152072,1
281055,3152707,1
382785,3153722,1
258909,3156018,1
272484,3156766,2
284515,3157342,1
398779,3160062,2
372575,3160505,2
366143,3162253,2
171379,3162875,1
318028,3163006,1
251629,3167549,2
356098,3170355,1
423399,3170921,1
392050,3171083,1
326003,3171090,2
284183,3172447,1
340060,3172653,1
320673,3173575,1
317230,3175457,1
386923,3176773,1
371321,3177118,2
292781,3177352,2
330516,3177698,1
327804,3181388,1
375663,3181698,1
160433,3183111,1
205913,3185259,2
263509,3185718,2
331217,3187291,1
387756,3187818,1
427088,3188231,1
319968,3189874,1
329044,3189929,1
223336,3190598,2
285364,3190856,2
351125,3191012,1
382909,3191147,1
391824,3192319,2
386923,3192917,2
338657,3194149,1
425621,3195193,2
336163,3195273,1
399523,3197074,2
380873,3199225,2
361197,3199567,2
392050,3199787,2
285674,3200118,2
183663,3204210,2
324126,3204265,1
355152,3204346,1
414647,3204716,2
425956,3205293,1
400843,3205916,2
382885,3206904,1
398689,3207070,1
407356,3207671,1
151223,3207687,1
373078,3208147,1
384190,3208363,1
419347,3208436,1
182419,3208667,1
407979,3209338,1
171379,3209670,2
424323,3209699,1
343240,3213059,2
378992,3213937,2
380701,3214099,1
431105,3214803,2
37782,3215345,2
292844,3215695,1
299641,3217009,2
303840,3217114,1
342457,3217122,2
378071,3217738,2
360849,3217764,2
216679,3219208,2
376870,3221377,2
284183,3222334,1
369410,3222988,2
269667,3224021,1
126086,3224461,2
284183,3225116,1
253952,3227765,1
359435,3228388,1
392930,3229707,2
406409,3231195,1
214921,3231420,1
295536,3233222,1
365841,3233949,1
284183,3234918,2
285674,3236035,2
429435,3236743,1
265478,3237852,1
35202,3238094,1
418068,3238596,2
396994,3239007,1
290736,3240659,2
386137,3241140,1
108784,3242737,1
429933,3243828,2
151875,3244247,2
391877,3244285,1
400843,3244750,1
355152,3244840,1
423478,3245205,1
300344,3245398,2
413904,3246375,1
329626,3247383,1
294008,3248788,2
376758,3249297,2
255906,3250499,2
144553,3251193,2
222362,3251310,2
433224,3251457,1
190639,3252219,1
343350,3252622,2
369410,3252942,1
228107,3253126,2
386137,3256488,1
253952,3258082,1
151527,3258527,1
375778,3261103,1
223336,3263464,1
124042,3264930,1
403402,3265846,1
189765,3267283,1
412211,3267386,2
385192,3268635,1
330339,3269527,2
251629,3269691,1
236306,3270588,1
223011,3270639,2
379715,3271144,2
395864,3271766,1
145395,3271871,1
399922,3273949,1
353831,3278729,1
309046,3280598,2
317271,3280718,1
313084,3282053,1
306358,3282229,2
286592,3283501,2
420561,3283518,2
190639,3284040,1
420737,3284410,1
153308,3286935,1
300468,3287364,2
164346,3287478,1
285364,3287575,2
418204,3288041,2
378992,3290497,2
394856,3291376,2
386923,3291451,1
290552,3291610,1
353831,3294807,2
136742,3295440,2
335730,3295493,1
307979,3295530,2
394022,3297887,2
335257,3298050,2
394022,3298051,2
258509,3298369,2
407569,3299727,1
383985,3301654,2
209606,3302583,1
395516,3302963,2
321136,3304845,1
253348,3305005,1
219798,3306061,2
360697,3306313,1
428982,3307083,2
311660,3307609,1
378071,3307690,1
408882,3308582,2
365235,3309845,1
228107,3311157,1
347811,3312526,1
37782,3312545,1
149689,3312876,1
389079,3314184,2
311660,3314879,1
340270,3315403,1
394022,3315642,2
277816,3316577,2
320673,3316603,1
263509,3318379,1
397433,3320306,2
378992,3320735,1
401019,3321936,2
240909,3323685,1
422120,3324622,2
424323,3325711,2
303331,3326177,1
314732,3327070,1
429435,3327889,2
135243,3328089,1
387756,3328637,1
425667,3329435,1
3132,3330713,1
350755,3331539,2
136742,3331850,1
204014,3331862,1
391616,3332961,1
429516,3333098,2
378992,3334168,2
292781,3334442,2
287668,3336000,2
380873,3337245,2
338346,3337266,2
89493,3341810,1
135243,3344568,2
110957,3344787,2
59728,3346300,1
385052,3346375,1
363286,3350717,2
352755,3351271,2
391824,3354071,2
370766,3354160,2
214921,3359761,1
433224,3360549,1
429130,3362610,2
358436,3363182,2
402069,3365014,2
288537,3365685,2
337064,3369162,1
279978,3369555,1
422120,3369763,1
394022,3370559,1
313084,3374126,1
219860,3374746,1
156998,3374885,1
388184,3374938,1
353411,3375550,1
346000,3376176,1
272169,3376813,1
429933,3378719,2
387669,3379499,1
384190,3381345,1
422531,3381895,1
426592,3383397,1
311776,3383818,1
276983,3385286,1
340874,3385603,2
332673,3385858,1
404079,3386674,1
251088,3387114,2
307979,3387906,1
249780,3388883,1
162493,3390332,2
288659,3392436,1
388184,3393256,1
402780,3393274,1
254910,3395110,1
314910,3395903,1
283748,3396041,2
249780,3396277,1
400363,3396608,1
200360,3396730,1
292781,3396802,1
355685,3398069,1
383310,3399154,1
394165,3400450,1
407793,3401050,1
384190,3402612,1
295536,3402873,1
340523,3404242,2
408092,3405461,2
383279,3408312,2
196299,3410614,2
392930,3411005,1
386875,3411738,2
402780,3413334,1
351125,3414141,1
295533,3414887,2
257950,3414965,2
361197,3415605,2
252211,3417589,1
382424,3419693,1
151875,3420880,1
37782,3420958,1
175751,3422248,1
401312,3422334,1
351125,3425114,1
350230,3425282,2
376347,3426784,2
124954,3427547,2
429881,3428240,1
342277,3429101,2
145395,3429527,2
253952,3429564,1
369827,3429721,2
399523,3429976,2
395425,3430877,1
355152,3431558,2
383279,3432569,2
311252,3434234,1
319999,3434831,2
286448,3435387,1
286448,3435395,1
415751,3435935,2
367999,3436224,2
300076,3437176,2
432258,3437641,1
427861,3440059,2
369410,3440575,1
398558,3440807,1
281314,3441458,1
405614,3442532,1
395415,3443283,1
211405,3443805,1
349198,3444147,1
397950,3444233,2
340874,3444776,2
413231,3445531,1
385542,3445650,1
425621,3447243,1
356098,3447588,1
378908,3451647,2
328280,3451675,2
377652,3452770,1
223336,3453233,1
294289,3457053,2
153308,3458155,2
353910,3459143,2
413231,3461233,1
253037,3461284,1
377652,3461643,2
179009,3467781,1
3132,3468320,1
409626,3468534,1
399922,3469456,1
359617,3472455,1
285933,3474139,1
318384,3475761,1
404914,3476382,2
303331,3477412,1
403402,3477660,1
352584,3479438,1
331186,3479826,1
219860,3480703,1
206440,3481433,2
325311,3482068,1
294289,3482752,1
349769,3483234,1
412837,3483674,1
406753,3484351,1
399966,3488155,2
371321,3488221,1
37782,3488364,1
358315,3493550,1
385542,3494944,2
410633,3496361,1
306358,3498512,2
320673,3500937,1
337064,3501418,1
165746,3504036,1
272043,3505046,1
37782,3506300,1
319968,3511690,1
395415,3513223,1
257950,3519185,1
353411,3520537,1
184571,3527516,1
236857,3528196,1
422120,3529152,1
343240,2594783,2
301602,2648905,2
281314,2713398,2
162493,2758979,2
206154,2836401,2
232654,2863950,2
341305,2892742,2
304406,2902689,2
337011,2905128,2
311252,2905336,2
391814,2918628,2
300776,2919364,1
401312,2928605,2
269925,2942912,1
282500,2944328,2
319968,2944589,2
370966,2953486,1
352925,2954784,1
407793,2956157,2
407793,2958776,2
281055,2968045,1
395425,2971430,2
382909,2972293,2
382909,2980083,2
407979,2981310,1
412533,2992046,2
301602,2995969,1
355024,2998331,1
385799,3006026,2
420507,3011416,2
120800,3012977,1
178349,3015209,2
255812,3015612,2
254535,3020672,2
389180,3023478,2
311252,3024456,2
185593,3027236,1
349856,3028623,1
360293,3030241,2
351211,3035921,2
419916,3038501,1
257137,3040310,1
223011,3040758,1
319968,3041443,1
413876,3043016,2
307179,3048388,2
393436,3048562,2
281245,3064204,1
190639,3076361,1
376204,3083102,2
109656,3083915,2
215800,3090074,2
208230,3092290,2
284515,3092848,1
413876,3093796,1
400843,3095687,1
385192,3096160,1
110957,3096309,1
414235,3096789,2
400843,3098358,2
200360,3099110,1
113478,3100448,2
251088,3101000,1
420737,3102802,1
386629,3103988,1
364195,3104391,2
35202,3104905,2
229712,2421948,2
343121,2624527,1
360136,2659197,1
362718,2760451,1
333321,2833792,2
362060,2861033,2
358828,2911374,1
225559,2915335,2
336489,2915888,2
241525,2923587,2
275329,2977904,2
275329,2977976,2
238768,2985792,2
416544,2994946,1
102238,2997042,1
367007,3000823,2
343121,3005049,1
193256,3009001,2
418140,3011615,1
405094,3029398,2
304119,3029423,1
398473,3030352,2
331777,3030744,2
409828,3033720,1
376374,3035435,2
391045,3035599,2
403931,3039070,2
263027,3051108,2
421172,3060154,2
421172,3060333,2
304119,3061058,1
414409,3069461,2
408034,3070561,1
238643,3073662,2
324327,3075664,1
113679,3080019,1
397751,3082520,2
384298,3083697,1
249608,3085664,2
397474,3093864,2
422130,3098473,1
388447,3099769,2
419421,3099888,2
254786,3101183,2
398228,3101637,2
345930,3102384,2
380101,3103325,1
319921,3103499,1
284564,3103685,2
360959,3108117,2
221569,3108253,1
266426,3108451,2
364997,3108710,1
414979,3108772,1
355347,3108934,1
306246,3112420,1
404183,3112444,1
266426,3114272,2
375970,3114680,1
300382,3115307,2
404985,3115356,1
208550,3115468,2
270906,3115528,1
287046,3116244,1
368783,3117608,2
335887,3118139,2
